# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
italian herbs,Spice blends,European blends,Herbs & spices,plant
italian ladyfingers,Bread & baked goods,Cookies,Grains,plant
italian loaf,Bread & baked goods,Bread,Grains,plant
italian meatballs,Processed meat,Fresh sausage,Protein (animal),animal
italian meringue,Sweets,Confectionery,Sweets,plant
italian mixed herbs,Spice blends,European blends,Herbs & spices,plant
italian oil,Oils,Vegetable oils,Fats & oils,plant
italian pizza crust,Bread & baked goods,Pizza dough,Grains,plant
italian red wine,Alcoholic beverages,Wine,Condiments & sauces,plant
italian roll,Bread & baked goods,Bread,Grains,plant
italian rolls,Bread & baked goods,Bread,Grains,plant
italian salad mix,Leafy greens,Lettuce,Vegetables,plant
italian seasoned breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
italian seasoned croutons,Bread & baked goods,Croutons,Grains,plant
italian spaghetti,Refined grains,Pasta,Grains,plant
italian spices,Spice blends,European blends,Herbs & spices,plant
italian style breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
italian style meatballs,Processed meat,Fresh sausage,Protein (animal),animal
italian vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
italian-seasoned breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
italian-style breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
italian-style hoagie buns,Bread & baked goods,Rolls,Grains,plant
jack cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
jalapeno,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno black-eyed,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno cheese,Aged cheese,Aged cheese,Dairy,dairy
jalapeno cheez whiz,Processed cheese,Processed cheese,Dairy,dairy
jalapeno chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno chilis,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno chillies,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno cornbread,Bread & baked goods,Cornbread,Grains,plant
jalapeno dip,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno jelly,Jams & preserves,Fruit preserves,Sweets,plant
jalapeno juice,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno monterey,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno powder,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno relish,Pickled vegetables,Pickled cucumber & cabbage,Condiments & sauces,plant
jalapeno rings,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno seasoning salt,Salt & seasonings,Seasoned salts,Herbs & spices,plant
jalapeno seeded,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapeno slices,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalapenos,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalepeno,Non-starchy vegetables,Chili peppers,Vegetables,plant
jalepenos,Non-starchy vegetables,Chili peppers,Vegetables,plant
jamon serrano,Non-starchy vegetables,Chili peppers,Vegetables,plant
japanese breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
japanese vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
jar cheese,Aged cheese,Aged cheese,Dairy,dairy
jar cheese whiz,Aged cheese,Aged cheese,Dairy,dairy
jasmine,Refined grains,Rice,Grains,plant
jasmine tea,Coffee & tea,Tea,Herbs & spices,plant
jell-o,Prepared mixes,Gelatins,Sweets,plant
jell-o instant pudding,Prepared mixes,Puddings,Sweets,plant
jell-o instant vanilla pudding,Prepared mixes,Puddings,Sweets,plant
jell-o vanilla,Prepared mixes,Gelatins,Sweets,plant
jell-o vanilla whip n chill mousse,Prepared mixes,Gelatins,Sweets,plant
jello,Prepared mixes,Gelatins,Sweets,plant
jello instant pudding,Prepared mixes,Puddings,Sweets,plant
jello instant vanilla pudding,Prepared mixes,Puddings,Sweets,plant
jello mix,Prepared mixes,Gelatins,Sweets,plant
jello pudding,Prepared mixes,Gelatins,Sweets,plant
jello vanilla,Prepared mixes,Gelatins,Sweets,plant
jello vanilla pudding,Prepared mixes,Puddings,Sweets,plant
jelly,Jams & preserves,Fruit preserves,Sweets,plant
jerky,Processed meat,Dried,Protein (animal),animal
jigger bourbon,Alcoholic beverages,Whisky,Condiments & sauces,plant
jigger coffee,Coffee & tea,Coffee,Herbs & spices,plant
jigger rum,Alcoholic beverages,Rum,Condiments & sauces,plant
jigger tequila,Alcoholic beverages,Tequila,Condiments & sauces,plant
jigger vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
jigger whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
jiggers bourbon,Alcoholic beverages,Whisky,Condiments & sauces,plant
jiggers rum,Alcoholic beverages,Rum,Condiments & sauces,plant
jiggers tequila,Alcoholic beverages,Tequila,Condiments & sauces,plant
jiggers vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
jiggers whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
jimmies,Sweets,Confectionery,Sweets,plant
jojoba oil,Oils,Vegetable oils,Fats & oils,plant
julienned oil,Oils,Vegetable oils,Fats & oils,plant
jumbo biscuits,Bread & baked goods,Biscuits,Grains,plant
jumbo crabmeat,Shellfish,Crab,Protein (animal),animal
jumbo lump crabmeat,Shellfish,Crab,Protein (animal),animal
jumbo macaroni,Refined grains,Pasta,Grains,plant
jumbo prawns,Shellfish,Shrimp,Protein (animal),animal
jumbo shell macaroni,Refined grains,Pasta,Grains,plant
jumbo shells,Refined grains,Pasta,Grains,plant
jumbo stuffing shells,Prepared mixes,Stuffing mixes,Grains,plant
kahlua,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
kahlua coffee,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
kahlua liqueur,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
kahlua liquor,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
kaiser buns,Bread & baked goods,Rolls,Grains,plant
kaiser roll,Bread & baked goods,Rolls,Grains,plant
kaiser rolls,Bread & baked goods,Rolls,Grains,plant
kalonji seeds,Seeds,Seeds,Nuts & seeds,plant
kamaboko,Shellfish,Other,Protein (animal),animal
karo syrup,Sweets,Syrup,Sweets,plant
kasha,Whole grains,Whole grains,Grains,plant
kasseri cheese,Aged cheese,Aged cheese,Dairy,dairy
kefalotyri cheese,Aged cheese,Aged cheese,Dairy,dairy
kelp,Non-starchy vegetables,Sea vegetables,Vegetables,plant
kelp powder,Non-starchy vegetables,Sea vegetables,Vegetables,plant
kentucky bourbon,Alcoholic beverages,Whisky,Condiments & sauces,plant
ketjap manis,Condiments & sauces,Asian sauces,Condiments & sauces,plant
kidney,Organ meats,Kidney,Protein (animal),animal
kielbasa,Processed meat,Sausage,Protein (animal),animal
kinako,Flours,Legume flours,Grains,plant
king crabmeat,Shellfish,Crab,Protein (animal),animal
king prawns,Shellfish,Shrimp,Protein (animal),animal
king syrup,Sweets,Syrup,Sweets,plant
kisses,Sweets,Chocolate,Sweets,plant
kiwifruit,Fruits,Tropical,Fruits,plant
kiwifruits,Fruits,Tropical,Fruits,plant
kiwis,Fruits,Other fruits,Fruits,plant
kluski noodles,Refined grains,Noodles,Grains,plant
knorr dry vegetable soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
knorr soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
knorr swiss vegetable soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
knorr's vegetable soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
kohlrabies,Cruciferous vegetables,Root brassicas,Vegetables,plant
korean chile paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
korean chili flakes,Non-starchy vegetables,Chili peppers,Vegetables,plant
korean chili paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
kosher coarse salt,Salt & seasonings,Salt,Herbs & spices,plant
kosher salt,Salt & seasonings,Salt,Herbs & spices,plant
kosher salt +,Salt & seasonings,Salt,Herbs & spices,plant
kosher sea salt,Salt & seasonings,Salt,Herbs & spices,plant
kosher style salt,Salt & seasonings,Salt,Herbs & spices,plant
kraft cheese,Aged cheese,Aged cheese,Dairy,dairy
kraft classic balsamic vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
kraft classic catalina dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
kraft monterey jack cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
kretschmer wheat germ,Whole grains,Whole grains,Grains,plant
la creme whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
ladyfinger,Bread & baked goods,Cookies,Grains,plant
ladyfinger cookies,Bread & baked goods,Cookies,Grains,plant
ladyfingers,Bread & baked goods,Cookies,Grains,plant
lager,Alcoholic beverages,Beer,Condiments & sauces,plant
lager beer,Alcoholic beverages,Beer,Condiments & sauces,plant
lager-style beer,Alcoholic beverages,Beer,Condiments & sauces,plant
laksa paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
lancashire cheese,Aged cheese,Aged cheese,Dairy,dairy
lapsang souchong tea,Coffee & tea,Tea,Herbs & spices,plant
lapsang souchong tea leaves,Coffee & tea,Tea,Herbs & spices,plant
large shells,Refined grains,Pasta,Grains,plant
large tortillas,Bread & baked goods,Pastries,Grains,plant
lasagna,Refined grains,Pasta,Grains,plant
lasagna noodle,Refined grains,Pasta,Grains,plant
lasagna noodles,Refined grains,Pasta,Grains,plant
lasagna sheet,Refined grains,Pasta,Grains,plant
lasagna sheets,Refined grains,Pasta,Grains,plant
lasagna strips,Refined grains,Pasta,Grains,plant
lasagne,Refined grains,Pasta,Grains,plant
lasagne noodles,Refined grains,Pasta,Grains,plant
lasagne sheets,Refined grains,Pasta,Grains,plant
late-harvest riesling,Alcoholic beverages,Wine,Condiments & sauces,plant
lavender,Fresh herbs,Soft herbs,Herbs & spices,plant
lavender buds,Fresh herbs,Soft herbs,Herbs & spices,plant
lavender flowers,Fresh herbs,Soft herbs,Herbs & spices,plant
lavender leaves,Fresh herbs,Soft herbs,Herbs & spices,plant
lavender oil,Oils,Vegetable oils,Fats & oils,plant
lavender sprigs,Fresh herbs,Soft herbs,Herbs & spices,plant
lavender syrup,Sweets,Syrup,Sweets,plant
layer cake,Prepared mixes,Cake mixes,Sweets,plant
layer lettuce,Leafy greens,Lettuce,Vegetables,plant
layer yellow cake,Prepared mixes,Cake mixes,Sweets,plant
leaf lettuce,Leafy greens,Lettuce,Vegetables,plant
leaf lettuce leaves,Leafy greens,Lettuce,Vegetables,plant
leafy lettuce,Leafy greens,Lettuce,Vegetables,plant
lean chuck,Red meat,Beef,Protein (animal),animal
lean flank,Red meat,Beef,Protein (animal),animal
lean ground chuck,Red meat,Beef,Protein (animal),animal
lean ground meat,Red meat,Beef,Protein (animal),animal
lean ground round,Red meat,Beef,Protein (animal),animal
lean ground sirloin,Red meat,Beef,Protein (animal),animal
lean ground veal,Red meat,Veal,Protein (animal),animal
lean hamburg,Red meat,Ground beef,Protein (animal),animal
lean hamburger,Red meat,Ground beef,Protein (animal),animal
lean roast,Red meat,Beef,Protein (animal),animal
lean round steak,Red meat,Beef,Protein (animal),animal
lean rump steak,Red meat,Beef,Protein (animal),animal
lean salt,Salt & seasonings,Salt,Herbs & spices,plant
lean sirloin steak,Red meat,Beef,Protein (animal),animal
lean spareribs,Red meat,Pork,Protein (animal),animal
lean steak,Red meat,Beef,Protein (animal),animal
lean stew meat,Red meat,Beef,Protein (animal),animal
lean veal,Red meat,Veal,Protein (animal),animal
leaves lettuce,Leafy greens,Lettuce,Vegetables,plant
leche,Sweets,Confectionery,Sweets,dairy
leftover biscuits,Bread & baked goods,Biscuits,Grains,plant
leftover chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
leftover gravy,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
leftover prepared stuffing,Prepared mixes,Stuffing mixes,Grains,plant
leftover roast,Red meat,Beef,Protein (animal),animal
leftover stuffing,Prepared mixes,Stuffing mixes,Grains,plant
legs,Poultry,Chicken,Protein (animal),animal
leicester cheese,Aged cheese,Aged cheese,Dairy,dairy
lemonade,Juices,Fruit juices,Fruits,plant
lemonade concentrate,Juices,Fruit juices,Fruits,plant
lemonade drink,Juices,Fruit juices,Fruits,plant
lemonade juice,Juices,Fruit juices,Fruits,plant
lemonade mix,Juices,Fruit juices,Fruits,plant
lemonade powder,Juices,Fruit juices,Fruits,plant
lesueur green peas,Legumes,Peas,Protein (plant),plant
lesueur peas,Legumes,Peas,Protein (plant),plant
lettuce,Leafy greens,Lettuce,Vegetables,plant
lettuce leaf,Leafy greens,Lettuce,Vegetables,plant
lettuce leaves,Leafy greens,Lettuce,Vegetables,plant
licorice root,Non-starchy vegetables,Root vegetables,Vegetables,plant
light agave,Sweets,Syrup,Sweets,plant
light ale,Alcoholic beverages,Beer,Condiments & sauces,plant
light balsamic vinaigrette,Condiments & sauces,Salad dressings,Condiments & sauces,plant
light balsamic vinaigrette salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
light beer,Alcoholic beverages,Beer,Condiments & sauces,plant
light cheese,Aged cheese,Aged cheese,Dairy,dairy
light cooking oil,Oils,Vegetable oils,Fats & oils,plant
light cool whip,Prepared mixes,Whipped toppings,Sweets,dairy
light fruit pectin,Baking ingredients,Setting agents,Grains,plant
light karo,Sweets,Syrup,Sweets,plant
light karo syrup,Sweets,Syrup,Sweets,plant
light margarine,Margarine & shortening,Margarine,Fats & oils,plant
light mayonaise,Condiments & sauces,Salad dressings,Condiments & sauces,plant
light oil,Oils,Vegetable oils,Fats & oils,plant
light red wine,Alcoholic beverages,Wine,Condiments & sauces,plant
light rum,Alcoholic beverages,Rum,Condiments & sauces,plant
light salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
light salad oil,Oils,Vegetable oils,Fats & oils,plant
light salt,Salt & seasonings,Salt,Herbs & spices,plant
light soymilk,Plant milks,Plant milks,Dairy,dairy
light stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
light syrup,Sweets,Syrup,Sweets,plant
light vanilla soymilk,Plant milks,Plant milks,Dairy,dairy
light vegetable oil,Oils,Vegetable oils,Fats & oils,plant
light vegetable oil cooking spray,Oils,Vegetable oils,Fats & oils,plant
light vegetable stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
light velveeta cheese,Processed cheese,Processed cheese,Dairy,dairy
light vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
light whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
light yellow cake mix,Prepared mixes,Cake mixes,Sweets,plant
lightly salted,Salt & seasonings,Salt,Herbs & spices,plant
lillet,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
lillet blanc,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
limburger cheese,Aged cheese,Aged cheese,Dairy,dairy
limeade,Juices,Fruit juices,Fruits,plant
limeade concentrate,Juices,Fruit juices,Fruits,plant
limoncello,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
limoncello liqueur,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
lingonberry preserves,Jams & preserves,Fruit preserves,Sweets,plant
linguica,Processed meat,Sausage,Protein (animal),animal
linguine,Refined grains,Pasta,Grains,plant
linguine noodles,Refined grains,Pasta,Grains,plant
linguini,Refined grains,Pasta,Grains,plant
linguini noodles,Refined grains,Pasta,Grains,plant
links kielbasa,Processed meat,Sausage,Protein (animal),animal
linseed oil,Oils,Vegetable oils,Fats & oils,plant
lipton soup mix,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
liqueur coffee flavor,Coffee & tea,Coffee,Herbs & spices,plant
liqueur grand marnier,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
liquid artificial sweetener,Sweets,Syrup,Sweets,plant
liquid coffee,Coffee & tea,Coffee,Herbs & spices,plant
liquid creamer,Plant milks,Plant milks,Dairy,dairy
liquid food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
liquid fruit pectin,Baking ingredients,Setting agents,Grains,plant
liquid glucose,Sweets,Sugar,Sweets,plant
liquid gravy browner,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
liquid green food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
liquid hickory smoke,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
liquid margarine,Margarine & shortening,Margarine,Fats & oils,plant
liquid nondairy creamer,Plant milks,Plant milks,Dairy,dairy
liquid oil,Oils,Vegetable oils,Fats & oils,plant
liquid pectin,Baking ingredients,Setting agents,Grains,plant
liquid red food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
liquid removed capers,Pickled vegetables,Capers,Condiments & sauces,plant
liquid seasoning,Spice blends,American blends,Herbs & spices,plant
liquid smoke,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
liquid smoke flavoring,Extracts & essences,Extracts,Herbs & spices,plant
liquid smoke seasoning,Spice blends,American blends,Herbs & spices,plant
liquid sweetener,Sweets,Syrup,Sweets,plant
lite beer,Alcoholic beverages,Beer,Condiments & sauces,plant
lite cheese,Aged cheese,Aged cheese,Dairy,dairy
lite fruit cocktail,Prepared mixes,Pie fillings,Sweets,plant
lite margarine,Margarine & shortening,Margarine,Fats & oils,plant
lite salt,Salt & seasonings,Salt,Herbs & spices,plant
lite whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
liter oil,Oils,Vegetable oils,Fats & oils,plant
liters club soda,Soft drinks,Soft drinks,Sweets,plant
liters red wine,Alcoholic beverages,Wine,Condiments & sauces,plant
liters sprite,Soft drinks,Soft drinks,Sweets,plant
liters vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
litre oil,Oils,Vegetable oils,Fats & oils,plant
live crawfish,Shellfish,Crustaceans,Protein (animal),animal
liver,Organ meats,Liver,Protein (animal),animal
livers,Organ meats,Liver,Protein (animal),animal
loaf pan,Bread & baked goods,Bread,Grains,plant
loaves rhodes,Bread & baked goods,Bread,Grains,plant
locatelli cheese,Aged cheese,Aged cheese,Dairy,dairy
log cabin syrup,Sweets,Syrup,Sweets,plant
loin,Red meat,Beef,Protein (animal),animal
loin chops,Red meat,Beef,Protein (animal),animal
loin roast,Red meat,Beef,Protein (animal),animal
loins,Red meat,Beef,Protein (animal),animal
lollipop sticks,Sweets,Confectionery,Sweets,plant
lollipops,Sweets,Confectionery,Sweets,plant
long fusilli,Refined grains,Pasta,Grains,plant
long green chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
long green chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
long green chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
long loaf,Bread & baked goods,Bread,Grains,plant
long red chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
long red chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
long red chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
long red chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
long red chilli,Non-starchy vegetables,Chili peppers,Vegetables,plant
long rolls,Bread & baked goods,Bread,Grains,plant
long spaghetti,Refined grains,Pasta,Grains,plant
longhorn cheese,Aged cheese,Aged cheese,Dairy,dairy
loose black tea,Coffee & tea,Tea,Herbs & spices,plant
loose black tea leaves,Coffee & tea,Tea,Herbs & spices,plant
loose green tea,Coffee & tea,Tea,Herbs & spices,plant
loose leaf lettuce,Leafy greens,Lettuce,Vegetables,plant
loose leaf tea,Coffee & tea,Tea,Herbs & spices,plant
loose tea,Coffee & tea,Tea,Herbs & spices,plant
loquats,Fruits,Other fruits,Fruits,plant
lorna doone cookies,Sweets,Confectionery,Sweets,plant
lots of salt,Salt & seasonings,Salt,Herbs & spices,plant
low salt,Salt & seasonings,Salt,Herbs & spices,plant
low-calorie margarine,Margarine & shortening,Margarine,Fats & oils,plant
low-fat baking mix,Prepared mixes,Baking mixes,Grains,plant
low-fat biscuit mix,Bread & baked goods,Biscuits,Grains,plant
low-fat cheese,Aged cheese,Aged cheese,Dairy,dairy
low-fat creme fraiche,Fermented dairy,Cultured milk,Dairy,dairy
low-fat eggnog,Soft drinks,Dairy beverages,Sweets,dairy
low-fat granola,Whole grains,Oats,Grains,plant
low-fat granola cereal,Prepared mixes,Cereals,Grains,plant
low-fat kielbasa,Processed meat,Sausage,Protein (animal),animal
low-fat margarine,Margarine & shortening,Margarine,Fats & oils,plant
low-fat mexican cheese blend,Aged cheese,Aged cheese,Dairy,dairy
low-fat monterey jack cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
low-fat oleo,Margarine & shortening,Margarine,Fats & oils,plant
low-fat soymilk,Plant milks,Plant milks,Dairy,dairy
low-fat whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
lower salt,Salt & seasonings,Salt,Herbs & spices,plant
lump crabmeat,Shellfish,Crab,Protein (animal),animal
lunch meat,Processed meat,Deli,Protein (animal),animal
luncheon meat,Processed meat,Deli,Protein (animal),animal
macadamias,Nuts,Tree nuts,Nuts & seeds,plant
macaron shells,Refined grains,Pasta,Grains,plant
macaroni,Refined grains,Pasta,Grains,plant
macaroni cheese,Refined grains,Pasta,Grains,plant
macaroni elbows,Refined grains,Pasta,Grains,plant
macaroni noodles,Refined grains,Pasta,Grains,plant
macaroni rings,Refined grains,Pasta,Grains,plant
macaroni shells,Refined grains,Pasta,Grains,plant
macaroni twists,Refined grains,Pasta,Grains,plant
macaroni your,Refined grains,Pasta,Grains,plant
macaroons,Sweets,Confectionery,Sweets,plant
mache,Leafy greens,Salad greens,Vegetables,plant
made pie crust,Bread & baked goods,Pastries,Grains,plant
made pie crusts,Bread & baked goods,Pastries,Grains,plant
made pie shell,Bread & baked goods,Pastries,Grains,plant
madeira,Alcoholic beverages,Wine,Condiments & sauces,plant
madeira cake,Prepared mixes,Cake mixes,Sweets,plant
madeira wine,Alcoholic beverages,Wine,Condiments & sauces,plant
maggi seasoning,Spice blends,American blends,Herbs & spices,plant
malibu rum,Alcoholic beverages,Rum,Condiments & sauces,plant
malt,Sweets,Syrup,Sweets,plant
malt powder,Sweets,Syrup,Sweets,plant
malt syrup,Sweets,Syrup,Sweets,plant
mandarin,Fruits,Citrus,Fruits,plant
mandarin juice,Fruits,Citrus,Fruits,plant
mandarin marmalade,Jams & preserves,Fruit preserves,Sweets,plant
mandarin peel,Fruits,Citrus,Fruits,plant
mandarin syrup,Sweets,Syrup,Sweets,plant
mandarins,Fruits,Citrus,Fruits,plant
mange-touts peas,Legumes,Peas,Protein (plant),plant
manicotti,Refined grains,Pasta,Grains,plant
manicotti noodles,Refined grains,Pasta,Grains,plant
manicotti shells,Refined grains,Pasta,Grains,plant
manouri cheese,Aged cheese,Aged cheese,Dairy,dairy
manzanilla sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
maple,Sweets,Syrup,Sweets,plant
maple flavor,Sweets,Syrup,Sweets,plant
maple flavoring,Extracts & essences,Extracts,Herbs & spices,plant
maple frosting,Sweets,Confectionery,Sweets,plant
maraschino,Prepared mixes,Pie fillings,Sweets,plant
maraschino juice,Prepared mixes,Pie fillings,Sweets,plant
maraschino liqueur,Prepared mixes,Pie fillings,Sweets,plant
marble cheese,Aged cheese,Aged cheese,Dairy,dairy
margarine,Margarine & shortening,Margarine,Fats & oils,plant
maria cookies,Sweets,Confectionery,Sweets,plant
marinade,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
marinade ingredients,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
marinara,Condiments & sauces,Tomato condiments,Condiments & sauces,plant
marmalade,Jams & preserves,Fruit preserves,Sweets,plant
marsala,Alcoholic beverages,Wine,Condiments & sauces,plant
marsala cooking wine,Alcoholic beverages,Wine,Condiments & sauces,plant
marscapone cheese,Aged cheese,Aged cheese,Dairy,dairy
maryland crabmeat,Shellfish,Crab,Protein (animal),animal
masala,Spice blends,Indian blends,Herbs & spices,plant
mashed berries,Berries,Berries,Fruits,plant
matcha,Coffee & tea,Tea,Herbs & spices,plant
matcha green tea powder,Coffee & tea,Tea,Herbs & spices,plant
matcha powder,Coffee & tea,Tea,Herbs & spices,plant
mature cheese,Aged cheese,Aged cheese,Dairy,dairy
matzo,Bread & baked goods,Flatbread,Grains,plant
matzo cake,Bread & baked goods,Flatbread,Grains,plant
matzo cake meal,Bread & baked goods,Flatbread,Grains,plant
matzo crackers,Bread & baked goods,Crackers,Grains,plant
matzo farfel,Bread & baked goods,Flatbread,Grains,plant
matzo meal,Bread & baked goods,Flatbread,Grains,plant
matzoh cake meal,Prepared mixes,Cake mixes,Sweets,plant
matzos,Bread & baked goods,Flatbread,Grains,plant
mayonaise,Condiments & sauces,Salad dressings,Condiments & sauces,plant
mayonnais,Condiments & sauces,Salad dressings,Condiments & sauces,plant
mazola oil,Oils,Vegetable oils,Fats & oils,plant
meat broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
meat drippings,Margarine & shortening,Animal fats,Fats & oils,animal
meat stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
meat tenderizer,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
meatballs,Processed meat,Fresh sausage,Protein (animal),animal
meatloaf,Processed meat,Fresh sausage,Protein (animal),animal
meatloaf mix,Processed meat,Fresh sausage,Protein (animal),animal
meatloaf seasoning mix,Spice blends,American blends,Herbs & spices,plant
mediterranean seasoning,Spice blends,American blends,Herbs & spices,plant
medium cheese,Aged cheese,Aged cheese,Dairy,dairy
medium cracker crumbs,Bread & baked goods,Crackers,Grains,plant
medium shells,Refined grains,Pasta,Grains,plant
medium wide noodles,Refined grains,Noodles,Grains,plant
mein noodles,Refined grains,Noodles,Grains,plant
melba,Bread & baked goods,Croutons,Grains,plant
melon,Fruits,Melon,Fruits,plant
melon balls,Fruits,Melon,Fruits,plant
melon liqueur,Fruits,Melon,Fruits,plant
melon seeds,Fruits,Melon,Fruits,plant
melons,Fruits,Melon,Fruits,plant
melt cheese,Aged cheese,Aged cheese,Dairy,dairy
melted crisco,Margarine & shortening,Shortening,Fats & oils,plant
melted oil,Oils,Vegetable oils,Fats & oils,plant
melting cheese,Aged cheese,Aged cheese,Dairy,dairy
mentsuyu,Condiments & sauces,Japanese pantry,Condiments & sauces,plant
meringue,Sweets,Confectionery,Sweets,plant
meringue cookies,Sweets,Confectionery,Sweets,plant
meringue frosting,Sweets,Confectionery,Sweets,plant
meringue nests,Sweets,Confectionery,Sweets,plant
meringue powder,Sweets,Confectionery,Sweets,plant
meringue topping,Sweets,Confectionery,Sweets,plant
meringues,Sweets,Confectionery,Sweets,plant
merlot,Alcoholic beverages,Wine,Condiments & sauces,plant
merlot wine,Alcoholic beverages,Wine,Condiments & sauces,plant
mesquite marinade,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
mesquite seasoning,Spice blends,American blends,Herbs & spices,plant
metaxa brandy,Alcoholic beverages,Brandy,Condiments & sauces,plant
methi seeds,Seeds,Seeds,Nuts & seeds,plant
mexican beer,Alcoholic beverages,Beer,Condiments & sauces,plant
mexican cheese,Aged cheese,Aged cheese,Dairy,dairy
mexican cheese blend,Aged cheese,Aged cheese,Dairy,dairy
mexican style shredded cheese,Processed cheese,Shredded cheese,Dairy,dairy
mexico chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
mexico chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
mezcal,Alcoholic beverages,Tequila,Condiments & sauces,plant
